username,calls,time
daksh,52,15:15:00
dipta,65,14:22:00
amaira,69,16:01:00
analytics,23,13:29:00
chaaya,17,14:10:00
yauvani,10,15:35:00
chatresh,55,16:49:00
garima,15,13:53:00
admin,8,17:30:00
palak,64,13:40:00
yug,58,09:49:00
mohini,42,17:36:00
umang,22,16:43:00
yauvani,18,12:08:00
chaaya,44,10:25:00
girindra,2,10:34:00
daksh,22,10:46:00
umang,22,11:10:00
yashvi,59,14:46:00
amaira,54,14:42:00
hiral,64,11:43:00
benjamin,65,11:00:00
tanay,70,15:24:00
garima,58,11:36:00
yauvani,27,12:47:00
amaira,66,15:38:00
garima,69,12:53:00
ekani,9,12:34:00
pratyush,61,15:48:00
girindra,23,16:28:00
ekavir,56,15:54:00
ekavir,11,10:14:00
palak,50,12:28:00
aishani,69,16:51:00
finance,63,09:37:00
aashi,45,10:49:00
hiral,72,16:25:00
gaurangi,39,09:52:00
yauvani,4,13:39:00
ekani,3,17:43:00

